epoch,loss,val_loss,T0,T1,T2
0,78042.625,51052.859375,84.81851196289062,130.36288452148438,141.702392578125
1,41281.63671875,36098.6953125,84.86333465576172,130.42250061035156,141.7035675048828
2,24668.080078125,14971.037109375,84.83021545410156,130.37664794921875,141.6881561279297
3,15010.033203125,13092.7802734375,84.82730865478516,130.38156127929688,141.7546844482422
4,13766.5546875,12654.234375,84.83308410644531,130.39060974121094,141.76339721679688
5,13403.3671875,12520.5986328125,84.84040832519531,130.3916015625,141.69371032714844
6,13202.38671875,12321.3544921875,84.85894775390625,130.3927459716797,141.5260467529297
7,12897.2939453125,12058.046875,84.89179229736328,130.39474487304688,141.28094482421875
8,12483.8154296875,11557.8115234375,84.91329956054688,130.3607177734375,140.9870147705078
9,12017.9111328125,10905.00390625,84.89642333984375,130.25180053710938,140.65248107910156
10,11566.8232421875,10348.779296875,84.89134216308594,130.15380859375,140.35289001464844
11,11027.4775390625,9770.5615234375,84.8783187866211,130.03085327148438,140.01705932617188
12,10640.4345703125,10313.6103515625,84.83700561523438,129.83834838867188,139.57391357421875
13,10161.30078125,8935.212890625,84.74774932861328,129.4957733154297,138.97410583496094
14,9664.474609375,8615.8720703125,84.64424133300781,129.0584259033203,138.26654052734375
15,9125.84375,7790.92529296875,84.47003936767578,128.46080017089844,137.37246704101562
16,8760.732421875,8184.86328125,84.28915405273438,127.76954650878906,136.3706817626953
17,8457.48046875,7580.63720703125,84.15029907226562,127.12136840820312,135.4314422607422
18,7950.6669921875,7124.25390625,83.93043518066406,126.32586669921875,134.3393096923828
19,7428.31787109375,6272.1201171875,83.65420532226562,125.26528930664062,132.9715118408203
20,7010.41748046875,6121.05029296875,83.27151489257812,123.87693786621094,131.27206420898438
21,6417.60986328125,5197.94921875,82.86570739746094,122.4661865234375,129.55926513671875
22,6011.37744140625,5031.3720703125,82.40211486816406,120.8843994140625,127.66585540771484
23,5568.09326171875,4681.86279296875,81.91960144042969,119.32720947265625,125.80818939208984
24,5173.37255859375,4065.97998046875,81.44400787353516,117.81782531738281,124.0035400390625
25,4650.88037109375,3633.38037109375,80.92413330078125,116.255615234375,122.15982055664062
26,4356.45654296875,3505.289306640625,80.41107177734375,114.77913665771484,120.41726684570312
27,3956.91064453125,3239.291748046875,79.92962646484375,113.39137268066406,118.78057861328125
28,3678.8291015625,2753.3427734375,79.40768432617188,111.99269104003906,117.13825988769531
29,3348.927734375,2327.489990234375,78.88751220703125,110.60887908935547,115.50990295410156
30,3055.3681640625,2206.641845703125,78.36914825439453,109.23534393310547,113.90455627441406
31,2725.044921875,1764.9791259765625,77.83749389648438,107.85284423828125,112.29995727539062
32,2489.64453125,1639.2425537109375,77.33468627929688,106.53836059570312,110.78052520751953
33,2161.9306640625,1020.4284057617188,76.84017181396484,105.23602294921875,109.28224182128906
34,1810.3216552734375,801.2139282226562,76.40309143066406,104.04490661621094,107.89478302001953
35,1446.47607421875,711.997802734375,75.96126556396484,102.84689331054688,106.50848388671875
36,1182.9342041015625,-602.1947631835938,75.56404876708984,101.70687103271484,105.19380187988281
37,818.16552734375,-942.9705200195312,75.22763061523438,100.6594009399414,103.97750854492188
38,555.8692016601562,-1205.9818115234375,74.91831970214844,99.69827270507812,102.85348510742188
39,320.4920349121094,-1509.9742431640625,74.64196014404297,98.81217956542969,101.81340789794922
40,423.5357971191406,-967.783935546875,74.41190338134766,98.0110092163086,100.878662109375
41,-577.1038208007812,-2385.048095703125,74.12982940673828,97.141845703125,99.87725830078125
42,-904.0579223632812,-1653.855224609375,73.90754699707031,96.36552429199219,98.97653198242188
43,-1458.402099609375,-3384.794921875,73.68701934814453,95.5836410522461,98.07120513916016
44,-1158.21826171875,-3720.6318359375,73.47084045410156,94.83506774902344,97.21859741210938
45,-1466.0150146484375,524.9487915039062,73.23255920410156,94.08662414550781,96.37893676757812
46,-1955.569091796875,-3774.53466796875,73.05313110351562,93.41043853759766,95.62223052978516
47,-2135.318603515625,-4088.601806640625,72.86604309082031,92.72738647460938,94.86341857910156
48,-2513.1240234375,-4090.3330078125,72.64009094238281,91.99768829345703,94.06085205078125
49,-2526.927490234375,-5497.7333984375,72.42830657958984,91.3092041015625,93.3053970336914
50,-3339.73291015625,-4788.353515625,72.22376251220703,90.61345672607422,92.54150390625
51,-2629.97265625,-4976.83349609375,72.01985931396484,89.94913482666016,91.81909942626953
52,-2806.641845703125,-3937.537109375,71.78333282470703,89.27217102050781,91.08793640136719
53,-4243.33251953125,-5557.4287109375,71.60575866699219,88.64434051513672,90.4076156616211
54,-3566.795654296875,-3951.046875,71.384521484375,87.99606323242188,89.7114028930664
55,-2653.672607421875,-4711.29150390625,71.19830322265625,87.44306945800781,89.11487579345703
56,-3794.5224609375,-6848.86181640625,70.99296569824219,86.87138366699219,88.50262451171875
57,-5108.796875,-7283.1865234375,70.79087829589844,86.25944519042969,87.84701538085938
58,-5429.8603515625,-6304.2197265625,70.554931640625,85.61732482910156,87.16387939453125
59,-5272.193359375,-7146.802734375,70.34101104736328,85.02020263671875,86.52976989746094
60,-5732.84375,-5744.5048828125,70.13298797607422,84.45166778564453,85.92399597167969
61,-5846.92333984375,-7059.68994140625,69.88773345947266,83.84764862060547,85.28487396240234
62,-6414.64697265625,-7393.16845703125,69.67887878417969,83.28688049316406,84.69403839111328
63,-6416.3837890625,-8154.708984375,69.44906616210938,82.71609497070312,84.09342956542969
64,-6256.66064453125,-8263.4375,69.24066162109375,82.19892120361328,83.54768371582031
65,-6948.85302734375,-6047.56103515625,69.00713348388672,81.65410614013672,82.97933959960938
66,-6825.94287109375,-7030.6064453125,68.78033447265625,81.12428283691406,82.42535400390625
67,-6734.88134765625,-9050.6650390625,68.58306884765625,80.63853454589844,81.9180908203125
68,-6320.662109375,-8370.8173828125,68.35933685302734,80.1485595703125,81.40802001953125
69,-7773.564453125,-9192.8251953125,68.1391830444336,79.65308380126953,80.89032745361328
70,-7765.337890625,-8732.873046875,67.90876007080078,79.14978790283203,80.3654556274414
71,-7456.12841796875,-9076.521484375,67.66911315917969,78.64978790283203,79.84577178955078
72,-2234.927978515625,-1178.4478759765625,67.65660858154297,78.40380859375,79.57737731933594
73,-1986.8848876953125,-5949.0361328125,67.48076629638672,78.07778930664062,79.23072814941406
74,-5521.48193359375,-5473.6259765625,67.32414245605469,77.78602600097656,78.92388153076172
75,-6831.09423828125,-8802.1416015625,67.14035034179688,77.44198608398438,78.56237030029297
76,-7603.32666015625,-8025.8037109375,66.9557876586914,77.08451843261719,78.18742370605469
77,-8097.85693359375,-9639.57421875,66.76545715332031,76.70831298828125,77.79320526123047
78,-8289.658203125,-9763.66796875,66.5726547241211,76.33462524414062,77.4049072265625
79,-8344.0107421875,-10336.4853515625,66.39008331298828,75.97042846679688,77.02511596679688
80,-8505.517578125,-8655.892578125,66.19691467285156,75.59842681884766,76.63762664794922
81,-8389.0400390625,-10519.9794921875,66.01432800292969,75.24678039550781,76.27359008789062
82,-8992.27734375,-10549.4697265625,65.80646514892578,74.85714721679688,75.86969757080078
83,-9201.9931640625,-9799.6025390625,65.60575866699219,74.48707580566406,75.48802947998047
84,-9257.73046875,-11042.068359375,65.41166687011719,74.12725830078125,75.1171646118164
85,-9450.2783203125,-9941.421875,65.18755340576172,73.73645782470703,74.71513366699219
86,-9553.0908203125,-11053.8349609375,64.99525451660156,73.38613891601562,74.35568237304688
87,-9666.9658203125,-11377.669921875,64.78581237792969,73.02301788330078,73.98426055908203
88,-9749.171875,-9242.4755859375,64.56634521484375,72.65042877197266,73.60380554199219
89,-9843.9677734375,-11680.8193359375,64.36898803710938,72.3062973022461,73.25224304199219
90,-9947.021484375,-11322.23828125,64.1598892211914,71.94976806640625,72.88822174072266
91,-10078.8642578125,-11494.228515625,63.93303680419922,71.57362365722656,72.50467681884766
92,-10053.7490234375,-11707.5546875,63.70851516723633,71.20438385009766,72.12831115722656
93,-10341.2724609375,-10498.58984375,63.494239807128906,70.85161590576172,71.76741790771484
94,-10361.1630859375,-11355.26171875,63.26378631591797,70.48155975341797,71.38915252685547
95,-10212.96484375,-11044.84375,63.04188537597656,70.12252807617188,71.02128601074219
96,-10218.9248046875,-11944.1533203125,62.82851028442383,69.7829360961914,70.67402648925781
97,-10509.5185546875,-11057.6435546875,62.61717987060547,69.44932556152344,70.334228515625
98,-10663.3125,-12474.7783203125,62.401710510253906,69.11415100097656,69.99239349365234
99,-10511.9931640625,-10920.6044921875,62.1871223449707,68.78231811523438,69.65250396728516
100,-10916.302734375,-12090.3115234375,61.95209503173828,68.42802429199219,69.29115295410156
101,-10731.4775390625,-12643.7939453125,61.7535400390625,68.115234375,68.97286987304688
102,-10539.0732421875,-12497.1025390625,61.54278564453125,67.79410552978516,68.64604949951172
103,-10895.1650390625,-12914.4580078125,61.3121452331543,67.455810546875,68.30130767822266
104,-11495.693359375,-12812.23828125,61.09982681274414,67.14141845703125,67.98214721679688
105,-11288.5712890625,-12693.888671875,60.872528076171875,66.80914306640625,67.64424133300781
106,-11487.1220703125,-12383.4208984375,60.6407470703125,66.47298431396484,67.30414581298828
107,-11613.333984375,-12464.146484375,60.42558670043945,66.15715789794922,66.98467254638672
108,-11791.806640625,-12271.1259765625,60.19025421142578,65.82410430908203,66.64826965332031
109,-11037.376953125,-12352.087890625,59.963932037353516,65.50286102294922,66.32340240478516
110,-11460.5966796875,-12360.818359375,59.734683990478516,65.17645263671875,65.9924545288086
111,-11839.9150390625,-12792.0546875,59.50580596923828,64.85508728027344,65.66703796386719
112,-11933.1689453125,-13188.0390625,59.274574279785156,64.5300521850586,65.33867645263672
113,-11883.7734375,-13492.369140625,59.04679870605469,64.21197509765625,65.01715087890625
114,-11976.1875,-13424.12890625,58.82752990722656,63.905181884765625,64.70585632324219
115,-12181.328125,-11857.0751953125,58.58039093017578,63.570899963378906,64.36767578125
116,-12350.9208984375,-13088.9169921875,58.34024429321289,63.245582580566406,64.03971099853516
117,-12521.0830078125,-11658.17578125,58.10374069213867,62.926231384277344,63.718650817871094
118,-12509.5556640625,-13545.712890625,57.87519836425781,62.61648941040039,63.40637969970703
119,-11964.0654296875,-13163.0166015625,57.65631866455078,62.324283599853516,63.1141357421875
120,-12696.365234375,-11575.212890625,57.42112350463867,62.01734924316406,62.80681228637695
121,-12619.671875,-13306.0849609375,57.1895866394043,61.71128463745117,62.499168395996094
122,-12545.869140625,-14042.8095703125,56.96894454956055,61.41709899902344,62.20172882080078
123,-13084.8359375,-13939.9609375,56.71841812133789,61.09441375732422,61.876678466796875
124,-12981.9111328125,-14275.02734375,56.489776611328125,60.79391860961914,61.57442092895508
125,-12946.1650390625,-14162.857421875,56.246150970458984,60.47991180419922,61.257179260253906
126,-12998.5205078125,-14189.4541015625,56.00426483154297,60.169036865234375,60.9433479309082
127,-13263.3115234375,-13798.515625,55.765403747558594,59.86338424682617,60.63650894165039
128,-13410.083984375,-13881.1435546875,55.5112419128418,59.542415618896484,60.313934326171875
129,-12844.828125,-14620.9873046875,55.285770416259766,59.2531852722168,60.02248764038086
130,-12998.369140625,-13380.6142578125,55.040435791015625,58.943641662597656,59.709800720214844
131,-13668.701171875,-12840.2841796875,54.80611801147461,58.64896774291992,59.41476058959961
132,-13615.5498046875,-12909.517578125,54.557838439941406,58.340152740478516,59.1071662902832
133,-13884.3759765625,-12896.28125,54.319602966308594,58.0407600402832,58.80787658691406
134,-13390.759765625,-13289.1240234375,54.075035095214844,57.74120330810547,58.51140594482422
135,-13543.552734375,-14449.3037109375,53.844757080078125,57.45537567138672,58.22809600830078
136,-13048.6845703125,-14770.791015625,53.61921691894531,57.17706298828125,57.95200729370117
137,-13683.3896484375,-15414.2119140625,53.36671447753906,56.871253967285156,57.649269104003906
138,-14274.0625,-14718.826171875,53.12229537963867,56.569496154785156,57.35024642944336
139,-14086.4130859375,-15101.75,52.886287689208984,56.28085708618164,57.06581115722656
140,-14567.6162109375,-13295.380859375,52.6400260925293,55.98032760620117,56.769840240478516
141,-14200.0986328125,-13276.9404296875,52.39593505859375,55.686134338378906,56.48241424560547
142,-13996.224609375,-14637.1904296875,52.17136764526367,55.41621398925781,56.22052764892578
143,-14497.2431640625,-13247.197265625,51.91926193237305,55.11619567871094,55.92868423461914
144,-14555.5302734375,-14749.7890625,51.68215560913086,54.829620361328125,55.649845123291016
145,-14496.826171875,-14366.1240234375,51.45779037475586,54.55670166015625,55.38242721557617
146,-14603.3974609375,-15276.9072265625,51.17976379394531,54.22820281982422,55.05937194824219
147,-13948.4130859375,-15737.4248046875,50.964439392089844,53.970123291015625,54.80797576904297
148,-14468.046875,-14935.3310546875,50.73015594482422,53.69291305541992,54.53855895996094
149,-15016.119140625,-15611.228515625,50.48857879638672,53.405601501464844,54.25801086425781
150,-15159.4619140625,-15741.5419921875,50.23565673828125,53.10469436645508,53.96156692504883
151,-15524.4697265625,-15191.984375,49.976844787597656,52.80038070678711,53.66374588012695
152,-15068.181640625,-14488.919921875,49.73358154296875,52.514549255371094,53.38569259643555
153,-15474.181640625,-12143.6416015625,49.48200988769531,52.21887969970703,53.097328186035156
154,-14989.9638671875,-13329.4072265625,49.246826171875,51.940608978271484,52.82367706298828
155,-15401.1591796875,-15494.998046875,49.00849151611328,51.662322998046875,52.55381393432617
156,-15338.4541015625,-13823.11328125,48.749908447265625,51.36014938354492,52.26202392578125
157,-14293.818359375,-15176.27734375,48.516658782958984,51.08987808227539,52.00090408325195
158,-11706.263671875,-11235.5341796875,48.297359466552734,50.835670471191406,51.74638366699219
159,-13383.9423828125,-14529.732421875,48.11007308959961,50.611328125,51.52553939819336
160,-14612.79296875,-14651.5009765625,47.907474517822266,50.36977767944336,51.28474426269531
161,-15175.2314453125,-15736.21875,47.654273986816406,50.078102111816406,50.99809646606445
162,-14807.150390625,-16549.33984375,47.453208923339844,49.843692779541016,50.77113342285156
163,-13736.3466796875,-10653.8701171875,47.27069091796875,49.631492614746094,50.564979553222656
164,-13237.541015625,-14088.544921875,47.12520217895508,49.458587646484375,50.39875793457031
165,-15249.13671875,-16452.08203125,46.92628860473633,49.22745895385742,50.17582702636719
166,-16028.427734375,-15871.509765625,46.70109939575195,48.96617889404297,49.923831939697266
167,-15877.3857421875,-12335.611328125,46.46255111694336,48.69333267211914,49.660587310791016
168,-15736.6328125,-17356.796875,46.252044677734375,48.44956588745117,49.42872619628906
169,-16090.830078125,-17001.169921875,46.02318572998047,48.188621520996094,49.18108367919922
170,-16014.4296875,-17261.4453125,45.82627868652344,47.963565826416016,48.97190856933594
171,-15805.876953125,-17126.263671875,45.62347412109375,47.73411178588867,48.762577056884766
172,-16039.2373046875,-15697.9775390625,45.417755126953125,47.498687744140625,48.54486083984375
173,-16537.888671875,-15990.55859375,45.18461990356445,47.234676361083984,48.30112838745117
174,-16429.646484375,-16010.4296875,44.96784210205078,46.986995697021484,48.07328414916992
175,-16367.8173828125,-16585.41015625,44.712364196777344,46.69942855834961,47.799156188964844
176,-16683.97265625,-14901.00390625,44.51613235473633,46.47459411621094,47.59581756591797
177,-16579.04296875,-17693.443359375,44.27819061279297,46.2078742980957,47.352230072021484
178,-16347.6689453125,-17365.9140625,44.05792236328125,45.960960388183594,47.1330680847168
179,-16665.05859375,-18007.810546875,43.86339569091797,45.744056701660156,46.9533805847168
180,-17034.8203125,-16363.7939453125,43.63800811767578,45.49204635620117,46.73353576660156
181,-16776.099609375,-13922.27734375,43.3971061706543,45.22441101074219,46.494564056396484
182,-16490.92578125,-17817.044921875,43.17466735839844,44.97568130493164,46.270973205566406
183,-16503.818359375,-18097.439453125,42.97034454345703,44.74700164794922,46.08011245727539
184,-16933.3828125,-18105.572265625,42.74098205566406,44.4942626953125,45.868988037109375
185,-16624.109375,-17680.546875,42.530189514160156,44.26112747192383,45.680992126464844
186,-17240.04296875,-17412.384765625,42.320499420166016,44.02711486816406,45.49106216430664
187,-17302.69921875,-13448.345703125,42.06756591796875,43.748573303222656,45.25497817993164
188,-17108.478515625,-14181.515625,41.853515625,43.50962829589844,45.05581283569336
189,-17076.728515625,-16246.560546875,41.598228454589844,43.23029708862305,44.817970275878906
190,-17560.322265625,-15500.505859375,41.361045837402344,42.9684944152832,44.59156036376953
191,-17304.619140625,-15790.107421875,41.12065887451172,42.7049674987793,44.372528076171875
192,-17673.10546875,-17894.373046875,40.882896423339844,42.4448356628418,44.17234802246094
193,-17552.44140625,-14829.9306640625,40.668617248535156,42.20805358886719,43.98635482788086
194,-17875.86328125,-18946.25,40.407501220703125,41.922080993652344,43.733367919921875
195,-17018.7890625,-17913.265625,40.1650390625,41.657752990722656,43.505455017089844
196,-16095.712890625,-14088.8515625,39.95737075805664,41.43019104003906,43.30789566040039
197,-17144.197265625,-18473.328125,39.748077392578125,41.200069427490234,43.10303497314453
198,-17754.126953125,-18758.0,39.50680160522461,40.93715286254883,42.874488830566406
199,-17900.435546875,-18538.3203125,39.273136138916016,40.68317413330078,42.66484069824219
200,-18161.875,-17862.45703125,39.01644515991211,40.404850006103516,42.4266471862793
201,-17693.568359375,-17609.93359375,38.7861213684082,40.15536880493164,42.230621337890625
202,-16479.72265625,-13834.8759765625,38.55232238769531,39.90003204345703,41.97246551513672
203,-16955.525390625,-18054.373046875,38.31920623779297,39.64780807495117,41.720787048339844
204,-14511.6806640625,-17139.40625,38.132144927978516,39.44473648071289,41.53546142578125
205,-17510.125,-15564.6357421875,37.8921012878418,39.18549728393555,41.27140426635742
206,-18103.845703125,-18172.48828125,37.638572692871094,38.91393280029297,41.039649963378906
207,-18532.0546875,-17968.328125,37.384925842285156,38.64188003540039,40.820438385009766
208,-18638.75390625,-17797.34375,37.11761474609375,38.35553741455078,40.58362579345703
209,-18243.822265625,-17232.578125,36.897552490234375,38.11773681640625,40.400089263916016
210,-18274.91015625,-18820.271484375,36.63124084472656,37.83411407470703,40.15266418457031
211,-18255.173828125,-15984.068359375,36.40955352783203,37.596187591552734,39.958187103271484
212,-18281.328125,-16330.431640625,36.17349624633789,37.34454345703125,39.75346374511719
213,-17723.357421875,-18594.984375,35.94376754760742,37.10017395019531,39.560386657714844
214,-18712.796875,-17936.060546875,35.73005294799805,36.871829986572266,39.39744186401367
215,-18625.265625,-18056.23046875,35.475250244140625,36.60133743286133,39.192508697509766
216,-18059.056640625,-18442.357421875,35.267642974853516,36.38092803955078,39.0433464050293
217,-16707.8671875,-18811.583984375,35.103336334228516,36.205406188964844,38.928443908691406
